method,group,cv
winn,all,0.1322925612996099
winn,all,0.30971315057442333
winn,all,0.1516810434508344
winn,all,0.1412376353493004
winn,all,0.39695160317044115
winn,all,0.3221549760255462
winn,all,0.21547044226493542
winn,all,0.18009786321327548
winn,all,0.19097311406461048
winn,all,0.2670471808702899
winn,all,0.28018080940441076
winn,all,0.16731539863136102
winn,all,0.13425689741976102
winn,all,0.17948122209690315
winn,all,0.17687813230317093
winn,all,0.27597691162937066
winn,all,0.26561274732761697
winn,all,0.22967597077473792
winn,all,0.2118071468074132
winn,all,0.16542015767512566
winn,all,0.24234536818414754
winn,all,0.17099075141035927
winn,all,0.13929792575614028
winn,all,0.23704731246433824
winn,all,0.18507372523784932
winn,all,0.18238262936519625
winn,all,0.18582454596922476
winn,all,0.2775878127953608
winn,all,0.2223465221361326
winn,all,0.16971772373058552
winn,all,0.3271424606394925
winn,all,0.4352502681005318
winn,all,0.13707639567364102
winn,all,0.21122270423081152
winn,all,0.1803650117698513
winn,all,0.363889833706185
winn,all,0.13200096798908798
winn,all,0.12931381718292304
winn,all,0.13913162707446014
winn,all,0.14606011568469116
winn,all,0.11011567910061511
winn,all,0.3465572728140393
winn,all,0.12761593031934837
winn,all,0.1269028042381017
winn,all,0.14003682354949853
winn,all,0.12103267077914505
winn,all,0.1256436184349086
winn,all,0.1302410110532427
winn,all,0.17570659224085083
winn,all,0.18613008342435666
winn,all,0.23391801041575475
winn,all,0.12958489829762612
winn,all,0.14669035294654517
winn,all,0.12269061168894647
winn,all,0.19812272715146126
winn,all,0.1856666337270609
winn,all,0.19324470692097803
winn,all,0.13955125041640523
winn,all,0.37544085173458347
winn,all,0.18715704419553825
winn,all,0.2915752192232147
winn,all,0.285691946752154
winn,all,0.17566017460978794
winn,all,0.2888136382483533
winn,all,0.39860504830631
winn,all,0.20336130984967435
winn,all,0.24319259535220092
winn,all,0.4366793580789033
winn,all,0.19934908475105273
winn,all,0.15396179315788378
winn,all,0.15481649961387614
winn,all,0.15811665921432755
winn,all,0.1721567436422597
winn,all,0.2326840184362857
winn,all,0.15813950656885034
winn,all,0.11542857668149822
winn,all,0.16527950632134994
winn,all,0.19978008255810348
winn,all,0.34295744888086854
winn,all,0.17087910508784898
winn,all,0.13297684556224773
winn,all,0.11245167282313345
winn,all,0.11787140273316807
winn,all,0.19850721815239836
winn,all,0.2817681572879712
winn,all,0.216621730649184
winn,all,0.15317252604925954
winn,all,0.12027230882496513
winn,all,0.1842155331089803
winn,all,0.2326257610111078
winn,all,0.12475800266027993
winn,all,0.16691453885777646
winn,all,0.20341369409440824
winn,all,0.1494070068241629
winn,all,0.3014887427942172
winn,all,0.33808626342024956
winn,all,0.2417568016212371
winn,all,0.20151086107313418
winn,all,0.1852167848243088
winn,all,0.1764333510166047
winn,all,0.23153718711483065
winn,all,0.14539583908260006
winn,all,0.1201271907386724
winn,all,0.1818040113010623
winn,all,0.1827748212459765
winn,all,0.1763611789546507
winn,all,0.15926251697402802
winn,all,0.17674875256379108
winn,all,0.11023663544342983
winn,all,0.1657494780808307
winn,all,0.11630649716667035
winn,all,0.20381880817572412
winn,all,0.2151655199504254
winn,all,0.31916316041679144
winn,all,0.18175423068816499
winn,all,0.13151486579022612
winn,all,0.35837067909891734
winn,all,0.20764816282108045
winn,all,0.15791651901634984
winn,all,0.11662443269797182
winn,all,0.13922929425418948
winn,all,0.1259895415508266
winn,all,0.1319496713854678
winn,all,0.15098878970224128
winn,all,0.21318008931976445
winn,all,0.13783113314270434
winn,all,0.3019179719141061
winn,all,0.169580504368274
winn,all,0.20511783638229197
winn,all,0.106964717258056
winn,all,0.1749004738572445
winn,all,0.20876567434718396
winn,all,0.18349605457033635
winn,all,0.16774806412408744
winn,all,0.14930657395601
winn,all,0.22443678884541066
winn,all,0.12388662889597216
winn,all,0.1310766892195535
winn,all,0.21016245888324697
winn,all,0.20121746322953368
winn,all,0.24252114717500461
winn,all,0.1801722147653215
winn,all,0.11097801991085628
winn,all,0.15834450607710412
winn,all,0.14838473973025063
winn,all,0.1636388951712695
winn,all,0.22373535443392062
winn,all,0.18268404172161196
winn,all,0.1436224542282125
winn,all,0.15331842585895059
winn,all,0.2780053243766818
winn,all,0.4154932412567754
winn,all,0.2520799874492941
winn,all,0.15638459410618885
winn,all,0.1809680900626658
winn,all,0.25719557183999375
