"sample","S2","S3","S4","S5","S6","S7","S8","S10","S11","S12","S13","S14","S15","S16","S18","S19","S20","S21","S22","S23","S24","S26","S27","S28","S29","S30","S31","S32","S34","S35","S36","S37","S38","S39","S40","S42","S43","S44","S45","S46","S47","S48","S50","S51","S52","S53","S54","S55","S56","S58","S59","S60","S61","S62","S63","S64","S66","S67","S68","S69","S70","S71","S72","S74","S75","S76","S77","S78","S79","S80","S82","S83","S84","S85","S86","S87","S88","S90","S91","S92","S93","S94","S95","S96","S98","S99","S100","S101","S102","S103","S104","S106","S107","S108","S109","S110","S111","S112","S114","S115","S116","S117","S118","S119","S120","S122","S123","S124","S125","S126","S127","S128","S130","S131","S132","S133","S134","S135","S136","S138","S139","S140","S141","S142","S143","S144","S146","S147","S148","S149","S150","S151","S152","S154","S155","S156","S157","S158","S159","S160","S162","S163","S164","S165","S166","S167","S168","S170","S171","S172","S173","S174","S175","S176","S178","S179","S180","S181","S182","S183","S184","S186","S187","S188","S189","S190","S191","S192","S194","S195","S196","S197","S198","S199","S200"
"class","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample"
"M1","1062.0189","1369.2378"," 779.7926","1321.3150","1027.8592"," 807.7398"," 959.1592"," 871.7858"," 771.2663","1034.5627","1073.3285","1158.4857","1128.5724","1144.4070"," 828.2262","1160.0312","1036.9166"," 834.2494"," 777.5861"," 899.6330"," 936.3099"," 862.2352","1175.3352"," 967.1530","1604.0883"," 958.5311"," 945.6229","1022.7190"," 967.4302","1038.5851","1045.4894"," 883.3723","1008.6725","1110.1417"," 681.4458"," 994.1956","1218.7321"," 976.2087"," 874.8635"," 681.8264"," 633.3401"," 719.9713"," 690.3485","1124.0372","2072.0151","2512.9171","1134.7317","1141.2329"," 843.9081","1383.1718","1086.3276"," 840.4629","1369.2251","1047.8352","1003.8432"," 952.5115","1029.0232","1166.8102","1389.8120"," 903.9883","1136.2500"," 981.4853","1182.0519","1168.9860"," 836.8281"," 886.0169","1138.5127","1352.3087","1817.1651","1150.4467"," 873.9385","1301.3308","1013.3169","1384.7839"," 868.9444"," 787.1448","1061.3571"," 788.5190","1008.2904"," 656.8491"," 733.2735","1026.9030"," 674.3930","1074.9256","1068.5808"," 799.5438"," 798.1269","2813.9058","1533.1103","1354.1374"," 980.1677","1153.0495","1198.8706","1093.1678","1276.5348","1349.0917","1300.9207"," 942.0084"," 972.6922"," 768.6221","1166.1835","1372.3684","1381.5033"," 867.8481","1671.7634","1075.1569"," 958.9945","1204.3079"," 825.5321"," 954.7515"," 922.0815","1379.2389"," 895.6873"," 948.3388","1360.9350"," 890.9275","1137.7128","1038.6141"," 931.0067"," 939.2998","1060.1627","1208.9164"," 802.6674","1177.7995"," 928.6596"," 923.0722"," 886.6759"," 868.3392"," 938.6100"," 902.1030","2313.0568"," 248.6574"," 264.4449"," 677.8428"," 557.6467"," 665.3994"," 505.1318","1031.6809"," 573.2655"," 844.4591"," 677.2015"," 819.3238","1038.1516","1175.7468","1413.0113","1118.2105","1119.5869"," 644.0998","1163.7832","1317.7053","1667.4391","1392.9117","1439.4474"," 900.8077","1034.9913","1127.4660"," 902.4259","1418.6752","1662.3193"," 949.2038","1395.5669"," 961.3565","1021.2029","1167.4662"," 914.2786"," 986.6441"," 678.8948"," 875.6665"," 944.9507"," 827.8778"," 944.4191","1088.3577"," 840.6777"," 878.5330"," 724.2013"
"M2"," 982.6937","1209.7650","1211.7402"," 928.4106","1319.9389","1273.4155"," 841.5196"," 793.2291"," 666.8741","1321.6106"," 935.3195","1246.8291","1251.3906","1223.1032"," 834.1488","1053.0513"," 932.0109"," 929.8765"," 854.4941","1165.7226"," 747.8878"," 898.1770"," 978.0328","1034.9192"," 838.1636","1215.0038","1077.9964"," 872.7195"," 926.3530"," 937.3764"," 976.9313","1078.2040"," 927.2505"," 661.6864","1185.9978"," 752.6707"," 798.1507","1161.8391"," 600.1735"," 921.6371"," 722.9779","1294.1205","1034.0166"," 953.7923","1129.1476"," 769.9044","1179.4041"," 984.0552"," 816.9270"," 976.4765","1489.5729","1259.9630","1096.2785","1039.5002","1096.1993","1228.3136","1282.5135","1227.3308"," 874.7919","1203.2420","1398.7424","1269.5322","1252.0268","1257.2654","1201.4527","1614.7046","1298.8654","1175.7634","1431.6950","1340.4963","1605.9829","1569.4753","1486.1108","1392.5690","1155.4076","1141.3027","1343.2899","1372.5025","1353.3068","1062.3676","1508.5849"," 808.2359","1127.9977","1593.0895"," 938.7589"," 754.1594","1175.4256","1485.9601","1008.2921","1424.6939","1380.1520","1102.1574","1077.3417","1001.9894","1614.2143"," 664.5987"," 924.4813"," 868.4480","1004.5664"," 791.7562","1114.2144","1620.6393"," 995.8353"," 950.5240","1071.6587","1143.0872"," 649.0931"," 853.4613"," 965.8721"," 634.4924"," 881.8327"," 761.6370"," 963.6752","1275.5656","1082.8984","1041.7975"," 868.2101","1329.9160","1104.3871"," 930.5595","1061.6310"," 908.6666"," 997.4008","1054.1130","1669.7419","1110.4515","1322.0222","1083.2956","1227.8672","1450.9221"," 912.3478"," 932.3917"," 772.2217"," 789.6061"," 977.6098"," 658.3208"," 968.2287"," 950.5307"," 776.7446"," 710.0682"," 845.2695","1126.4919","1165.8365","1015.7886","1329.0373"," 696.8129","1275.6306"," 809.6203","1246.2718","1235.7487","1148.6959","1156.9203"," 667.5684"," 994.7338","1331.9278","1211.5842","1426.3531","1575.1844","1250.9681","1230.0233","1181.9033"," 933.4698","1260.5769","1315.7173"," 941.3815"," 895.4918","1191.6019","1030.1529"," 972.7209","1039.2947","1217.8543","1235.0168","1119.2170"," 983.9605","1126.4698"
"M3"," 590.4811","2689.0584","2246.7149","1087.2512"," 702.2459"," 390.3803"," 250.5919"," 452.9221","2830.7139","1202.3502"," 661.6256","1002.1080"," 598.9553"," 847.2064","1074.7052","1130.3518"," 665.9988","1471.6107"," 852.8062","1075.3473"," 372.8285"," 976.2748","1714.3367"," 795.3164","2430.5341","1574.4125","4245.7945","1697.8019","1925.3298","1696.3140","1880.6945","1083.5153","1955.5379"," 703.5356","2639.3150","1754.5192","1251.8084","1110.2828"," 571.5973"," 831.2617","1265.1005"," 344.6899"," 598.1730","2904.7294"," 641.6483","1053.9354"," 476.5423"," 402.2692","1358.5722","1419.2713","1253.0902","1138.8330","2150.9606"," 575.8217"," 487.1502","1247.3251"," 791.9023","1438.7448","1628.8615"," 398.0278","1562.8416"," 944.7636"," 761.0790"," 668.3890","1230.1842"," 984.3127","1081.5076"," 984.8771","1760.6638","1638.6440"," 316.1340","1400.7132","1879.6156","5239.6560","1798.4330"," 468.5800","2903.6909","2329.8171","2490.2536"," 578.7687"," 661.7080"," 919.8099","1227.2797"," 761.6662"," 616.8875"," 635.5780"," 478.0123","2555.9734"," 675.8148"," 806.4987"," 741.0398","2201.4168"," 711.5974","3648.0126"," 783.2287","2414.4238"," 574.5344"," 607.3396"," 565.3130","1810.4180"," 933.0068"," 931.6451"," 825.6638","2802.2863","2791.4031","1588.2650","1230.7753","1770.4500"," 359.6724","2532.2808","1187.0976","1515.5263"," 793.2730"," 622.1985","2107.3195","1941.0603"," 461.2148"," 894.6026"," 540.7745","1676.2714","3871.2584","1782.1037"," 380.6294"," 832.4887","1143.8609","1028.5856","1718.0551","1417.1072","1521.8516","2538.3672","2214.4034"," 682.7101","1543.3165","1114.0918"," 753.1339","1403.2069"," 585.8334"," 585.9615"," 876.5892","1240.6974","1674.7131","1064.8595","1021.5063"," 448.7274","1496.0914"," 781.3407","1197.3043"," 659.0714","1618.4504","1987.1615","1204.5417","3670.0042","2549.5270","1613.9036","3914.3139","1067.5356"," 496.1490","1128.6528","1384.3766","4170.0694","2160.9622"," 795.4781","1427.9772","2238.5510"," 683.7398"," 369.7006","1840.5529"," 405.0704","2209.0066"," 750.4542","1566.1438"," 475.8297"," 536.1563"," 812.2828"," 888.8612"
"M4","1062.5099","1004.6738"," 863.1239","1297.3124"," 950.8989","1186.1048"," 995.1023","1399.2806"," 916.2622","1201.1366","1119.8870","1276.8441","1165.8554","1191.4975"," 819.4479","1019.3305"," 918.7690"," 995.0383","1121.1987"," 899.6836","1076.1310","1374.8852","1233.9395","1104.6274"," 822.5618"," 854.8351","1195.6443","1449.5999","1104.3699","1395.2187","1069.6203"," 907.2458","1333.3772","1035.2473","1382.2487","1032.8603"," 993.2912","1176.4144"," 914.2397","1566.9974"," 668.8281","1211.7159"," 912.9839"," 856.8378"," 686.4181"," 902.5567"," 770.9516","1179.9533","1045.4325","1225.5357","1334.7138"," 966.9362","1487.0474"," 981.3465"," 851.6280"," 887.7894","1018.2070","1387.1276","1059.8999","1374.4957"," 920.0615","1143.3166","1493.8666"," 954.3382","1459.8836","1170.5510","1121.3643","1460.3706","1721.1141"," 963.2401","1368.5532","1023.2960","1511.4247","1064.8081","1210.6718","1263.5326","1389.6526","1187.8855"," 885.6949"," 998.8357","1437.5443"," 996.9435"," 912.7607","1241.9110"," 625.2932"," 775.9761"," 583.3246","1104.8672","1007.4071"," 624.7563"," 913.9200"," 884.4904"," 966.4322"," 878.5546"," 776.9798"," 694.6413"," 666.9407","1148.6198"," 757.0034"," 942.9730"," 857.6043","1391.1120"," 767.7564"," 894.9287","1161.0144","1335.1238","1145.7284"," 723.0897"," 773.9227","1057.5475"," 939.2704"," 930.6597"," 810.1627"," 774.6194"," 867.9714"," 829.7558","1133.2033","1119.2524","1293.5147","1149.0819","1018.1402","1072.9335","1346.6761"," 677.8348"," 986.9379","1459.1634","1299.4763","1100.8781"," 862.5566","1076.1878","1137.7030"," 649.2062","1141.9480"," 943.6710"," 749.3048","1123.5541","1001.9925"," 994.7176"," 960.5540","1048.4054"," 974.9353","1025.7767"," 809.5772","1127.7780"," 960.2978","1075.1408"," 933.9062","1087.3827","1585.8027","1290.1028"," 907.1814","1151.0516","1382.4211","1343.4681","1200.0593"," 946.8499","1267.1843","1147.4190","1405.1795","1060.0523","1653.6093","1073.4942","1481.1172","1375.6108","1131.0602","1040.2760","1182.2552","1004.5318"," 961.7702","1604.8035","1279.2042","1334.4528","1363.6971","1164.4050"," 807.3356"
"M5","1017.7847","1559.5752"," 980.6927","1299.5067"," 876.3230","1097.7617"," 690.0485"," 638.9261","1010.5509"," 957.3901"," 792.8712"," 937.1085"," 888.4095","1264.2096"," 619.2825","1274.7512","1010.0745"," 963.5744"," 849.9643"," 895.7299"," 664.3363"," 946.2335"," 681.3868"," 942.2523"," 882.8351"," 989.1810","1004.2689"," 699.0376","1287.2493","1218.7002"," 878.1852"," 905.0898","1146.8021","1010.2338","1551.5117","1161.9763","1062.4029"," 913.4188"," 905.4103","1282.8158","1253.7673","1347.3774","1357.1067"," 994.9257"," 707.8581"," 948.2324","1337.0011"," 737.2963","1028.9787"," 813.9064","1754.8031"," 939.9791"," 841.5071","1212.7817","1068.9192"," 903.5135"," 839.6324"," 827.2155","1263.7640","1041.0883","1424.0269"," 985.0181","1099.4095","1081.0165","1145.0517","1406.5887","1232.2485","1495.2702","1265.2162","1270.0649","1205.2302","1267.5812","1118.0348","1324.2497","1070.1306","1112.3563","1046.6967","1070.5343","1413.9169"," 887.8057","1094.4145"," 826.3339","1325.2109","1357.9378","1281.4715"," 822.8809","1120.7306","1058.0874"," 886.5052"," 880.4044"," 798.9430","1181.5298","1059.7522","1465.5965","1348.6401"," 853.2375","1199.9895"," 842.3095","1335.0549"," 850.3836","1342.0947","1566.6976"," 818.3603"," 645.3986","1227.8483","1209.9697"," 706.0697"," 913.1312"," 956.6023","1058.0132"," 896.9385","1053.9576","1225.6743","1395.1941","1308.7563"," 941.0360"," 990.8935","1100.0204"," 958.8168","1285.1554","1069.8947","1058.5983"," 962.9486","1015.8298"," 723.2020","1483.7612"," 802.0847"," 838.0538"," 843.5175","1030.7777","1007.6725"," 937.5685","1714.8926","1165.9366","1233.8000","1316.9820","1140.1592"," 657.8001"," 833.1553"," 977.1309"," 628.5554","1095.5675"," 668.8510","1099.7554","1033.9583","1145.2726"," 957.0696"," 631.8566","1221.1173"," 877.8825"," 872.1914","1203.3477","1099.3271"," 769.5551","1072.8102","1006.2493"," 999.2317"," 975.3098","1203.1151","1221.1782","1307.1283","1147.9005","1469.2894"," 989.1302"," 863.3746","1026.7583"," 950.7679"," 920.2266","1227.0414"," 785.5309","1141.6923","1038.7197"," 601.1661","1048.9600"," 918.2498"
"M6"," 802.2406","1390.5591","1383.4140","1517.6102","1021.9706"," 781.3310"," 796.8881"," 809.5406"," 675.4295","1251.3972","1146.9766","1027.7911"," 845.3654"," 805.0409"," 895.3856","1121.9206"," 935.9644"," 763.1956"," 657.2492","1022.1251","1205.2011"," 929.9373"," 933.5589"," 935.3406","1356.4438"," 922.8882","1084.8362"," 724.8049"," 950.0463"," 951.5388"," 939.7931"," 664.6040"," 814.3556"," 834.7720"," 890.7379"," 695.3316","1072.0128"," 658.4813"," 882.1834","1324.5834"," 688.5000"," 723.2731","1453.4501"," 480.9223"," 576.0054"," 504.1544"," 809.3141"," 979.8471"," 754.2217"," 894.6950","1141.5612"," 875.0307"," 939.9023","1385.8087","1160.5781"," 968.5971"," 986.0067","1006.5711","1055.3177","1135.0097","1396.3590","1017.0519","1144.1669","1093.0036","1007.0777"," 909.9009","1083.1767","1399.0523"," 967.3038"," 962.9211"," 963.9511","1032.3089","1316.9815","1477.9510"," 982.6851","1388.7490","1507.4565","1033.5190","1034.2419"," 908.1664"," 942.8330"," 977.5747"," 739.4229"," 944.4101","1087.4562"," 898.0839"," 503.6718","1346.3486","1035.0895","1167.8860","1330.6197"," 926.4240","1136.1829","1077.3406","1080.4947","1059.6378"," 750.0396"," 837.5821","1105.6245"," 991.1552","1163.6922","1006.7535","1065.5789"," 575.9835","1103.0390","1059.8404"," 726.4990"," 881.2569"," 970.9972","1102.3454"," 796.3174"," 954.0487"," 946.4576"," 939.9423"," 976.5466","1080.4178"," 931.2299","1079.5170"," 842.5531","1419.4212","1413.4138","1110.9154"," 877.3728","1026.5301","1071.9443","1032.1002","1221.4310","1104.8638","1157.4001","1002.3889","1196.9876"," 649.3495"," 893.5667","1048.2398"," 866.5979"," 731.6415"," 906.0508","1182.7100","1057.6907"," 902.2706"," 711.2029","1352.8283"," 923.0464","1356.7022","1341.8835","1069.4949","1199.8006"," 734.1021","1468.5159","1250.1169"," 956.3806","1398.1834","1475.5263","1377.4408","1187.3810","1493.6029","1012.9690","1895.4468","1064.4209","1119.4580","1236.2658","1523.5000","1218.3854","1134.1062","1209.3893"," 857.1134","1078.7085"," 998.7928"," 768.8025"," 692.1920"," 992.2959","1059.3559"," 857.2139"," 710.5020"," 782.0411"
"M7","1380.7651"," 832.1423"," 945.3690"," 832.5164","1144.5681"," 872.5766"," 906.4639"," 965.4187"," 760.3496","1242.0222","1117.2067","1134.4310","1005.6468","1091.9078","1010.4906"," 995.1880","1148.3878"," 843.0503","1281.1177","1099.1222","1053.4294","1004.9851"," 838.8918","1044.7581","1214.1855"," 635.9503"," 869.4732","1296.2506"," 905.1987","1006.1181","1103.6342","1251.9544"," 795.2047","1199.4609"," 892.5614","1057.1009","1019.7856"," 797.2217","1149.4622"," 999.5480"," 691.2503"," 922.8081"," 811.7424","1254.8178"," 810.7353"," 968.1616","1210.3151","1098.7721","1335.3383","1470.0958","1134.0021"," 965.2439","1501.8118","1422.1611","1219.8342"," 894.7761","1115.8471","1023.2447","1257.5551"," 931.2221","1062.5422"," 686.0367"," 837.5864","1172.6204","1223.0850"," 719.5192"," 821.9622","1512.0498","1249.2251","1264.4439","1241.4464","1599.4295","1561.6341","1394.2878","1229.3441","1418.6423","1293.4230"," 843.0951","1244.7988"," 917.9608"," 711.6586"," 775.4539","1094.4792"," 895.1782"," 839.7481"," 772.2462","1177.2159","1001.4556"," 870.7471"," 676.4806"," 788.3896"," 607.6782"," 662.0744"," 722.6245"," 727.0508"," 804.5056"," 862.0566"," 903.3416"," 830.6383"," 894.8532","1349.3420","1225.6024"," 615.8898"," 802.8880","1036.1878"," 597.5118"," 752.1691"," 823.5488"," 805.6634","1158.1986"," 472.3827"," 926.4167"," 873.2449"," 799.9895","1069.4078"," 972.0840","1055.3425","1107.6200","1287.4259"," 805.0227"," 993.1734"," 928.5582"," 830.4566","1013.5983"," 972.0059","1443.8428"," 991.8083","1489.3595"," 903.8540","1294.4435","1144.9792"," 756.3074"," 989.0226"," 807.0637","1367.6388","1248.8453","1383.3532"," 624.3444"," 998.5406"," 984.6664"," 863.3173","1283.3309"," 819.6865","1024.9034","1016.1305"," 937.2207","1295.9544","1032.1241","1124.4362","1112.8659"," 845.7296","1850.9418","1439.2091","1274.2426","1240.9220","1047.2395","1126.2748"," 931.6820","1137.4790","1282.7436","1083.2755","1293.6047","1719.3911","1008.1754","1136.5797","1018.5619","1689.7586","1390.1203","1110.2532","1200.7009","1283.0116","1514.2521","1261.8379","1019.0997"," 910.0079"
"M8"," 882.7522","1166.6265"," 987.0513","1335.7829","1174.8778"," 960.6027","1277.6655"," 774.0439"," 828.8197","1074.5761"," 706.5392","1395.0672"," 824.8611","1323.7423"," 730.6201"," 830.7496"," 881.9042"," 841.3338"," 893.5825"," 754.0736"," 837.9722"," 675.0675"," 960.6782","1001.8346","1002.6420"," 861.0013"," 914.6940","1001.8082","1213.5728","1126.7019","1041.5053","1035.1891"," 779.7252","1069.2742"," 708.0914"," 778.2087"," 787.8268","1301.9182","1018.3219","1040.6106"," 662.7517"," 870.3506"," 686.8342","1198.0486","1823.8717","1644.6539"," 979.6476","1282.0887"," 767.6603"," 764.0302"," 909.3665"," 809.5426","1191.6233","1267.5125","1051.7727","1105.6185"," 877.1250","1249.5437"," 973.7459"," 960.1201","1013.1236"," 966.2110"," 892.1436"," 915.4502","1062.8924"," 835.7108"," 879.3299","1054.1472","1012.0947","1072.7557","1583.4708","1115.8151","1218.3694","1595.4481"," 931.3308"," 831.5223","1409.5149"," 952.1437","1511.1649","1202.8036"," 791.8358"," 857.5692","1057.7037","1439.6427","1467.4474","1134.6570","1116.1308","1430.1575"," 818.0172"," 911.4045"," 666.6139","1023.3316","1148.3236"," 792.8517","1103.2473"," 944.8757"," 830.7772"," 665.3775","1308.8613"," 835.7322","1104.8995","1174.8908","1002.3405"," 759.9873","1255.8190"," 987.1916"," 824.9394"," 858.9659"," 904.8549","1045.5037"," 783.1819"," 811.2531"," 770.6075"," 989.3384"," 946.4677"," 975.7399"," 984.4835","1039.5366"," 881.1399"," 802.4620","1014.9996"," 940.6876"," 748.4883"," 800.0117","1032.9351","1042.6091"," 710.1469"," 504.8768"," 545.1470"," 506.5652"," 487.5846","1048.3488","1684.4011"," 919.7909","1193.3759","1027.7506","1113.2901"," 830.3833"," 943.2408"," 956.7958","1060.6518","1031.2211","1022.9325"," 787.2025","1152.8716","1056.3798","1028.9799"," 953.1672","1353.6080","1212.3521"," 802.2868"," 969.9864","1061.5105"," 964.7376","1104.2607","1172.8853","1223.7185"," 969.0258"," 752.0589","1414.2484","1263.0816"," 878.5123"," 903.5171","1256.0995"," 934.9167","1494.9269","1147.7281"," 838.9899","1195.2824","1074.4552","1066.8818","1517.6568","1426.0881","1273.5031","1221.4400"
"M9"," 754.3443"," 812.6016"," 671.4655","1191.5316"," 754.8460"," 714.2691","1031.9753","1590.9104","1198.1353","1150.6639"," 829.1567","1228.1686","1339.4335","1473.3959"," 811.1707","1002.1340","1367.6362","1221.2988"," 825.5449","1299.0084","1295.6921","1259.2893"," 870.7127"," 957.3664","1228.0354","1286.2877","1178.3118"," 836.9664","1129.5951","1145.1625","1305.1110"," 736.7852"," 846.1610","1030.7369","1099.0239"," 999.0936","1177.7703","1065.0957"," 881.7245","1133.7485"," 922.9438"," 690.6899"," 824.7518","1181.4237","1127.7861","1283.3336","1285.3048","1036.2545"," 879.5601"," 923.0987"," 880.3882"," 933.5950","1104.9786","1118.4490","1001.4930"," 949.1351","1000.4898","1156.4936"," 656.6983","1076.2980"," 961.3896","1027.9332","1331.3872","1193.9555"," 689.9055"," 833.8199"," 983.4048"," 900.6521","1361.1321"," 905.3385"," 817.5299"," 796.2239"," 864.8213","1110.0612","1066.6745","1258.6481"," 961.5571"," 696.1713","1056.5611"," 720.5074"," 581.7382"," 981.3870"," 728.0231","1187.2823"," 964.7840","1060.7695"," 844.0613"," 991.1757"," 783.5530","1094.0896"," 745.7528","1295.4486","1265.9209","1236.9151","1097.5427"," 771.6036","1187.4958"," 935.2056"," 958.8260","1374.1714","1188.3161","1535.2527","1021.6770"," 810.8470"," 839.2836"," 701.6719"," 752.3466"," 900.3633"," 751.1242","1173.2428"," 718.4286","1029.1856"," 839.7773","1132.4941","1167.2250","1133.9835"," 819.1299","1407.3379","1307.6532","1148.4327","1188.4218"," 998.2548"," 874.5054","1222.5612"," 721.4482"," 850.4598"," 774.9766"," 806.7975"," 882.6610"," 862.7624"," 607.3774"," 987.4674"," 946.8168"," 804.3347"," 840.3100"," 768.3936","1261.6656"," 783.7874"," 833.4834"," 897.3382"," 884.5723","1265.4056","1095.6781","1273.6072","1215.2255","1225.1222"," 874.6195","1013.4577","1472.6605","1452.2084","1201.8041"," 934.1708","1115.3984"," 917.4242","1465.1554","1121.5888"," 686.0972","1150.3451","1065.6723"," 857.6615"," 944.3630","1213.9221","1247.0952","1127.7080","1265.2891","1126.9396"," 788.6947","1357.3823"," 824.9692"," 769.9579","1094.5340"," 784.4570","1157.0246"," 855.2417"," 836.7933"
